date,condition,temp_max_c,temp_min_c
2025-12-25,other,2.3,-2.8
2025-12-26,other,2.6,-1.0
2025-12-27,other,4.6,0.6
2025-12-28,other,3.8,-2.0
2025-12-29,other,1.7,-2.0
2025-12-30,other,-0.8,-3.6
2025-12-31,other,-0.4,-3.5
2026-01-01,snowy,2.9,-2.0
2026-01-02,snowy,-0.3,-5.3
2026-01-03,snowy,-5.4,-6.8
2026-01-04,snowy,-3.0,-6.7
2026-01-05,snowy,-4.5,-8.9
2026-01-06,other,-5.9,-10.2
2026-01-07,snowy,-0.3,-8.4
2026-01-08,snowy,-1.6,-6.2
2026-01-09,other,-2.6,-6.3
2026-01-10,other,-3.7,-14.1
2026-01-11,other,-11.1,-17.5
2026-01-12,other,-4.1,-16.9
2026-01-13,snowy,1.5,-3.8
2026-01-14,other,3.1,0.9
2026-01-15,other,2.6,0.7
2026-01-16,other,4.6,2.4
2026-01-17,other,3.7,1.1
2026-01-18,other,2.1,-0.2
2026-01-19,other,0.6,-3.2
2026-01-20,other,-0.6,-4.0
2026-01-21,other,-0.4,-4.1
2026-01-22,other,0.3,-1.7
2026-01-23,other,-1.2,-2.6
2026-01-24,other,-1.3,-4.5
2026-01-25,other,-2.4,-4.5
2026-01-26,other,-3.5,-5.4
2026-01-27,other,-2.0,-5.7
2026-01-28,other,-2.4,-5.6
2026-01-29,other,-3.4,-5.6
2026-01-30,other,-3.9,-5.1
2026-01-31,other,-1.8,-5.1
2026-02-01,other,-3.5,-6.8
2026-02-02,other,-5.1,-8.5
2026-02-03,other,-1.9,-8.6
2026-02-04,other,-3.4,-6.9
2026-02-05,other,-2.8,-7.0
2026-02-06,snowy,-3.2,-5.4
2026-02-07,snowy,-1.7,-6.2
2026-02-08,other,-2.0,-8.8
2026-02-09,other,-4.0,-11.8
2026-02-10,other,-1.9,-6.7
2026-02-11,other,-2.8,-4.5
2026-02-12,other,-4.2,-7.2
2026-02-13,other,-6.4,-9.2
2026-02-14,other,-5.8,-14.5
2026-02-15,other,-3.2,-15.5
2026-02-16,other,-3.1,-7.7
2026-02-17,other,-3.0,-10.1
2026-02-18,other,-3.7,-15.5
2026-02-19,other,-4.3,-12.7
2026-02-20,snowy,-1.5,-12.4
2026-02-21,snowy,2.3,-2.1
2026-02-22,other,1.4,-8.7
2026-02-23,other,2.9,0.3
2026-02-24,other,1.3,-3.9
2026-02-25,other,1.9,-3.2
2026-02-26,other,5.7,2.2
2026-02-27,other,5.8,4.4
2026-02-28,other,6.7,2.3
2026-03-01,other,5.5,0.7
2026-03-02,other,6.1,0.6
2026-03-03,other,7.7,2.9
2026-03-04,other,7.7,0.8
2026-03-05,other,7.4,-0.7
2026-03-06,other,10.8,-0.7
2026-03-07,other,5.6,0.1
2026-03-08,other,11.1,0.4
2026-03-09,other,12.9,-0.4
2026-03-10,other,9.9,-0.1
2026-03-11,other,7.0,1.6
2026-03-12,other,7.8,2.4
2026-03-13,other,6.9,3.2
2026-03-14,other,6.0,1.6
2026-03-15,other,5.7,1.1
2026-03-16,other,5.8,1.5
2026-03-17,other,8.0,0.2
2026-03-18,other,9.0,2.6
2026-03-19,other,8.7,2.1
2026-03-20,other,11.9,-0.4
2026-03-21,other,6.2,-0.3
2026-03-22,other,7.8,1.0
2026-03-23,other,7.8,1.8
2026-03-24,other,7.6,2.2
2026-03-25,other,6.8,1.6
2026-03-26,snowy,8.9,1.4
2026-03-27,other,7.4,-0.2
2026-03-28,other,8.5,2.6
2026-03-29,other,6.3,1.4
2026-03-30,other,7.1,2.0
2026-03-31,other,11.3,1.7
2026-04-01,other,8.2,0.0
2026-04-02,other,7.9,1.8
2026-04-03,other,6.1,0.8
2026-04-04,other,7.7,1.8
2026-04-05,other,7.9,2.1
2026-04-06,other,10.8,3.5
2026-04-07,other,11.0,1.1
2026-04-08,other,11.7,0.2
2026-04-09,other,13.2,1.6
2026-04-10,other,10.0,-0.8
2026-04-11,other,10.7,2.2
2026-04-12,other,9.0,2.5
2026-04-13,other,14.3,5.0
2026-04-14,other,10.7,5.3
2026-04-15,other,8.7,4.0
2026-04-16,other,14.3,1.3
2026-04-17,other,16.4,1.7
2026-04-18,other,14.9,4.1
2026-04-19,other,9.2,6.5
2026-04-20,other,12.6,0.3
2026-04-21,other,15.3,0.9
2026-04-22,other,15.9,3.2
2026-04-23,other,14.5,5.2
2026-04-24,other,15.6,3.6
2026-04-25,other,11.9,4.5
2026-04-26,other,9.1,0.3
2026-04-27,other,10.1,-0.1
2026-04-28,other,11.6,1.5
2026-04-29,other,15.5,1.6
2026-04-30,other,16.6,4.0
2026-05-01,other,17.1,5.0
