entity_id,state,last_changed
sensor.nordpool_kwh_se3_sek_3_10_0_2,49.314,2026-07-02T22:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,55.717,2026-07-02T22:00:00.643Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,68.86,2026-07-02T22:15:00.532Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,65.904,2026-07-02T22:30:00.533Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,61.619,2026-07-02T22:45:00.516Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,64.597,2026-07-02T23:00:00.530Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,58.441,2026-07-02T23:15:00.539Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,56.038,2026-07-02T23:30:00.522Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,46.815,2026-07-02T23:45:00.524Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,58.862,2026-07-03T00:00:00.526Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,46.062,2026-07-03T00:15:00.536Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,36.329,2026-07-03T00:30:00.517Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,34.524,2026-07-03T00:45:00.518Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,39.219,2026-07-03T01:00:00.518Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,35.421,2026-07-03T01:15:00.536Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,31.889,2026-07-03T01:30:00.535Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,29.575,2026-07-03T01:45:00.535Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,32.243,2026-07-03T02:00:00.521Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,29.73,2026-07-03T02:15:00.537Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,29.486,2026-07-03T02:30:00.537Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,29.342,2026-07-03T02:45:00.539Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,29.01,2026-07-03T03:00:00.529Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,29.663,2026-07-03T03:15:00.536Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,32.476,2026-07-03T03:30:00.537Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,35.543,2026-07-03T03:45:00.542Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,29.807,2026-07-03T04:00:00.518Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,35.377,2026-07-03T04:15:00.542Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,44.777,2026-07-03T04:30:00.535Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,58.873,2026-07-03T04:45:00.517Z
