entity_id,state,last_changed
sensor.nordpool_kwh_se3_sek_3_10_0_2,53.536,2026-01-07T23:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,52.639,2026-01-08T00:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,52.338,2026-01-08T01:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,52.434,2026-01-08T02:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,51.392,2026-01-08T03:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,52.252,2026-01-08T04:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,54.39,2026-01-08T05:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,69.999,2026-01-08T06:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,96.683,2026-01-08T07:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,126.236,2026-01-08T08:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,135.464,2026-01-08T09:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,153.576,2026-01-08T10:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,153.683,2026-01-08T11:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,157.787,2026-01-08T12:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,162.116,2026-01-08T13:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,185.428,2026-01-08T14:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,198.458,2026-01-08T15:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,204.915,2026-01-08T16:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,163.642,2026-01-08T17:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,138.074,2026-01-08T18:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,95.362,2026-01-08T19:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,74.919,2026-01-08T20:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,85.876,2026-01-08T21:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,65.82,2026-01-08T22:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,54.314,2026-01-08T23:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,72.411,2026-01-09T00:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,66.648,2026-01-09T01:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,54.757,2026-01-09T02:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,48.833,2026-01-09T03:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,54.478,2026-01-09T04:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,67.261,2026-01-09T05:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,83.593,2026-01-09T06:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,95.021,2026-01-09T07:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,93.602,2026-01-09T08:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,96.473,2026-01-09T09:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,100.763,2026-01-09T10:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,90.215,2026-01-09T11:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,89.893,2026-01-09T12:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,89.796,2026-01-09T13:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,91.151,2026-01-09T14:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,96.032,2026-01-09T15:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,96.742,2026-01-09T16:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,100.472,2026-01-09T17:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,93.57,2026-01-09T18:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,90.828,2026-01-09T19:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,88.936,2026-01-09T20:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,80.475,2026-01-09T21:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,81.259,2026-01-09T22:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,74.97,2026-01-09T23:00:00.000Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,11.967,2026-07-12T13:30:00.400Z
sensor.elmatare_active_power_l1,0.7175067248652778,2026-01-07T23:00:00.000Z
sensor.elmatare_active_power_l1,2.3934576963869443,2026-01-08T00:00:00.000Z
